"ID","Tiempo (dias)","a*","b*","L*","E*"
"1",0,18.09,8.68,37.7,0
"2",7,17.22,9.05,39.28,1.84
"3",14,17.34,8.78,39.1,1.59
"4",21,17.05,8.9,36.8,1.39
"5",28,16.84,8.98,36.35,1.86
"6",35,17.17,8.94,38.78,1.44
"7",42,17.86,8.83,36.96,0.79
"8",49,16.95,8.79,37.93,1.17
"9",56,16.69,8.8,37.07,1.54
"10",63,17.55,8.65,36.54,1.28
"11",70,16.44,8.47,38.7,1.94
"12",77,16.89,8.22,36.48,1.77
"13",84,17.1,8.62,37.01,1.21
"14",91,15.84,8.47,36.34,2.64
"15",98,15.93,8.43,38.52,2.32
"16",105,16.56,8.21,36.47,2.02
"17",112,15.76,8.41,38.52,2.48
"18",119,16.22,8.12,37.96,1.97
"19",126,15.39,8.21,37.56,2.74
"20",133,15.89,8.14,36.49,2.57
"21",140,16.18,8.42,37.71,1.93
"22",147,16.01,8.57,37.97,2.1
"23",154,15.75,8.43,37.6,2.36
"24",161,15.6,8.41,38.35,2.59
"25",168,15.3,7.95,35.47,3.65
"26",175,15.35,8.28,37.1,2.83
"27",182,15.19,8.15,35.41,3.73
"28",189,15.31,8.22,37.13,2.87
"29",196,15.07,8.32,36.81,3.17
"30",203,14.22,8.49,37.68,3.87
"31",210,14.06,7.94,37.91,4.1
"32",217,15.25,8.41,38.06,2.88
"33",224,14.44,8.04,37.81,3.71
"34",231,15.01,8.32,37.53,3.11
"35",238,14.68,7.98,36.16,3.81
"36",245,14.49,8.23,38.09,3.65
"37",252,15,7.98,36.54,3.37
"38",259,13.65,8.25,36.64,4.58
"39",266,13.5,7.8,37.23,4.7
"40",273,14,7.85,37.2,4.2
"41",280,13.31,8.04,37.18,4.85
"42",287,13.77,7.78,35.13,5.11
"43",294,13.92,8.04,35.25,4.88
"44",301,14.51,8.37,35.96,3.99
"45",308,14.44,8.22,36.64,3.83
"46",315,14.2,8.11,35.16,4.68
"47",322,13.46,8.22,36.69,4.76
"48",329,13.7,8.38,37.38,4.41
"49",336,13.31,8.12,37.27,4.83
"50",343,12.88,8.03,36.13,5.48
"51",350,12.86,8.22,36.84,5.32
"52",357,12.55,7.75,34.87,6.29
"53",364,13,8.01,35.46,5.6
"54",371,13.14,7.88,36.46,5.17
"55",378,12.75,8.31,37.38,5.36
"56",385,13.02,7.86,34.93,5.84
"57",392,13.41,8.35,37.45,4.7
"58",399,12.67,7.86,34.72,6.24
"59",406,13.15,8.37,36.55,5.08
"60",413,13.57,8.27,36.35,4.74
"61",420,12.76,8.19,35.78,5.69
"62",427,12.71,7.79,35.53,5.87
"63",434,12.87,8.21,36.26,5.44
"64",441,12.05,7.9,36.15,6.28
"65",448,12.86,8.25,36.01,5.51
"66",455,13.19,8.01,37.64,4.95
"67",462,12.27,8.21,34.75,6.54
"68",469,12.7,8,36.42,5.58
"69",476,11.95,8.22,35.6,6.51
"70",483,12.71,8.24,36.87,5.46
"71",490,12.54,7.91,36.07,5.84
"72",497,11.81,8.07,36.33,6.46
"73",504,11.68,7.86,35.97,6.69
"74",511,11.55,7.76,34.87,7.19
"75",518,12.92,8.32,34.64,6.02
"76",525,12.48,8.31,36.72,5.71
"77",532,12.47,7.87,36.25,5.86
"78",539,12.04,7.92,35.82,6.38
"79",546,11.7,8.16,36.68,6.49
"80",553,12.18,8.19,36.92,5.98
"81",560,12,8.08,37.53,6.12
"82",567,11.54,8.24,37.35,6.57
"83",574,11.33,7.96,35.39,7.18
"84",581,11.47,8.25,36.45,6.75
"85",588,12.42,8.32,37.39,5.69
"86",595,11.42,7.74,35.72,7.02
"87",602,12.32,7.84,36.7,5.92
"88",609,11.7,8.03,36.25,6.58
"89",616,11.51,7.91,36.19,6.79
"90",623,11.58,8.05,35.66,6.85
"91",630,12.06,8.11,37.47,6.06
"92",637,11.16,8.33,36.3,7.08
"93",644,10.9,8.04,35.43,7.57
"94",651,11.56,8.32,37.13,6.56
"95",658,11.55,7.74,36.14,6.79
"96",665,11.02,7.84,36.44,7.23
"97",672,10.89,8,36.15,7.4
"98",679,11.75,7.86,36.31,6.54
"99",686,12.19,7.79,34.6,6.72
"100",693,10.99,7.87,37.26,7.16
"101",700,11.78,8,36.64,6.43
